#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
156,Togo,"37,017",+4,273 ,,"36,722",+3,22,,"4,285",32,"734,914","85,070"
157,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,643",32,"660,107","47,855"
158,Tanzania,"35,354",,840 ,,N/A,N/A,N/A,7,562,13,,
159,Aruba,"35,189",,212 ,,"34,774",,203,,"327,011","1,970","177,885","1,653,083"
160,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,316",569,"778,000","15,810,437"
161,Bahamas,"33,830",,800 ,,"32,458",,572,,"84,528","1,999","229,817","574,224"
162,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,139",321,"431,221","198,373"
163,Mali,"30,991",+13,733 ,,"30,069",+20,189,,"1,453",34,"674,091","31,598"
164,Haiti,"30,713",,835 ,,"29,605",,273,,"2,634",72,"132,422","11,356"
165,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,923","1,013","150,753","1,755,616"
166,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,120",13,"604,310","47,536"
167,Somalia,"26,518",,"1,350 ",,"13,182",,"11,986",,"1,586",81,"400,466","23,957"
168,Saint Lucia,"24,164",+186,368 ,,"23,207",+63,589,1,"130,486","1,987","143,281","773,718"
169,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,173",67,"347,815","60,278"
170,Cayman Islands,"23,578",,28 ,,"8,553",,"14,997",1,"351,098",417,"222,773","3,317,296"
171,Timor-Leste,"22,886",,130 ,,"22,730",,26,,"16,765",95,"264,143","193,502"
172,Burkina Faso,"20,853",,382 ,,"20,439",,32,,949,17,"248,995","11,335"
173,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,731",33,,
174,Solomon Islands,"18,174",,146 ,,"16,357",,"1,671",2,"25,307",203,"5,117","7,125"
175,Gibraltar,"18,129",,102 ,,"16,579",,"1,448",,"538,400","3,029","534,283","15,867,278"
176,South Sudan,"17,525",,138 ,,"13,514",,"3,873",1,"1,532",12,"389,677","34,070"
177,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,750",12,,
178,Liechtenstein,"17,329",+14,84 ,,"17,166",,79,,"452,088","2,191","102,174","2,665,571"
179,San Marino,"16,823",,115 ,,"16,424",,284,4,"493,879","3,376","152,231","4,469,101"
180,Grenada,"16,191",,221 ,,"14,626",,"1,344",4,"142,663","1,947","156,652","1,380,303"
181,Equatorial Guinea,"15,910",,183 ,,"15,701",,26,5,"10,688",123,"317,211","213,104"
182,Djibouti,"15,631",,189 ,,"15,427",,15,,"15,405",186,"305,941","301,515"
183,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,938",23,"81,294","16,306"
184,Bermuda,"14,135",,135 ,,"13,664",,336,,"228,533","2,183","893,980","14,453,768"
185,Dominica,"12,685",,63 ,,"12,323",,299,,"175,406",871,"194,894","2,694,958"
186,Monaco,"12,002",+2,54 ,,"11,853",+11,95,4,"301,869","1,358","54,960","1,382,329"
187,Gambia,"11,996",,365 ,,"11,591",,40,,"4,718",144,"155,686","61,229"
188,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,191",369,"164,926","2,895,826"
189,Yemen,"11,819",,"2,149 ",,"9,009",,661,23,381,69,"265,253","8,544"
190,Tonga,"11,049",,11 ,,"10,110",,928,,"102,382",102,"518,262","4,802,324"
191,Samoa,"11,045",,23 ,,"1,605",,"9,417",4,"54,988",115,"82,612","411,287"
192,Saint Martin,"10,602",,63 ,,"1,399",,"9,140",7,"265,781","1,579","112,382","2,817,298"
193,Sint Maarten,"10,123",,86 ,,"9,985",,52,10,"231,224","1,964","62,056","1,417,451"
194,Caribbean Netherlands,"9,903",,35 ,,"9,819",,49,,"371,233","1,312","30,126","1,129,330"
195,Eritrea,"9,740",,103 ,,"9,632",,5,,"2,678",28,"23,693","6,513"
196,Niger,"9,010",,310 ,,"8,577",,123,1,349,12,"252,882","9,789"
197,Vanuatu,"8,289",+48,14 ,,"7,876",+151,399,,"25,865",44,"24,976","77,936"
198,Guinea-Bissau,"8,215",,171 ,,"8,005",,39,6,"3,999",83,"135,939","66,171"
199,Comoros,"8,100",,160 ,,"7,933",,7,,"8,960",177,,
200,Antigua and Barbuda,"7,721",,137 ,,"7,511",,73,1,"77,649","1,378","18,901","190,084"
201,Sierra Leone,"7,682",,125 ,,N/A,N/A,N/A,,928,15,"259,958","31,403"
202,Liberia,"7,451",,294 ,,"5,747",,"1,410",2,"1,412",56,"139,824","26,490"
203,Chad,"7,414",,193 ,,"4,874",,"2,347",,429,11,"191,341","11,060"
204,St. Vincent Grenadines,"6,794",,106 ,,"6,641",,47,,"60,881",950,"99,121","888,229"
205,British Virgin Islands,"6,573",,62 ,,N/A,N/A,N/A,1,"214,769","2,026","103,637","3,386,277"
206,Turks and Caicos,"6,046",,36 ,,"5,963",,47,4,"152,331",907,"505,354","12,732,527"
207,Sao Tome and Principe,"5,970",,73 ,,"5,891",,6,,"26,333",322,"29,036","128,073"
208,Saint Kitts and Nevis,"5,600",,43 ,,"5,540",,17,,"103,900",798,"70,707","1,311,867"
209,Cook Islands,"5,390",,1 ,,"5,274",,115,,"306,354",57,"17,419","990,053"
210,Palau,"4,782",,6 ,,"4,087",,689,1,"261,970",329,"47,272","2,589,679"
211,St. Barth,"4,611",,6 ,,N/A,N/A,N/A,,"464,210",604,"78,646","7,917,648"
212,Kiribati,"3,093",,13 ,,"2,602",,478,3,"25,177",106,,
213,Anguilla,"2,984",,9 ,,"2,916",,59,4,"195,646",590,"51,382","3,368,870"
214,Saint Pierre Miquelon,"2,739",,1 ,,"2,449",,289,1,"477,095",174,"23,687","4,125,936"
